code,pref,city,pop,did,did_prop
1000,北海道,北海道,5224614,3973007,76.0440292813976
1100,北海道,札幌市,1973395,1916037,97.0934354247376
1202,北海道,函館市,251084,216044,86.0445110003027
1203,北海道,小樽市,111299,92939,83.5038949137009
1204,北海道,旭川市,329306,306545,93.0881915300663
1205,北海道,室蘭市,82383,68514,83.1652161246859
1206,北海道,釧路市,165077,148153,89.7478146561908
1207,北海道,帯広市,166536,151326,90.8668396022482
1208,北海道,北見市,115480,77537,67.1432282646346
1209,北海道,夕張市,7334,0,0
1210,北海道,岩見沢市,79306,47022,59.2918568582453
1211,北海道,網走市,35759,23129,64.6802203641041
1212,北海道,留萌市,20114,14870,73.9286069404395
1213,北海道,苫小牧市,170113,142122,83.5456431901148
1214,北海道,稚内市,33563,26159,77.9399934451628
1215,北海道,美唄市,20413,9671,47.3766717288003
1216,北海道,芦別市,12555,5364,42.7240143369176
1217,北海道,江別市,121056,110103,90.952121332276
1218,北海道,赤平市,9698,0,0
1219,北海道,紋別市,21215,14294,67.3768559981145
1220,北海道,士別市,17858,10468,58.6179863366558
1221,北海道,名寄市,27282,17889,65.5707059599736
1222,北海道,三笠市,8040,0,0
1223,北海道,根室市,24636,14007,56.8558207501218
1224,北海道,千歳市,97950,84325,86.089841755998
1225,北海道,滝川市,39490,28615,72.4613826285136
1226,北海道,砂川市,16486,5033,30.5289336406648
1227,北海道,歌志内市,2989,0,0
1228,北海道,深川市,20039,9591,47.8616697439992
1229,北海道,富良野市,21131,13246,62.6851545123279
1230,北海道,登別市,46391,34190,73.6996400163825
1231,北海道,恵庭市,70331,64284,91.4020844293413
1233,北海道,伊達市,32826,20922,63.7360628769878
1234,北海道,北広島市,58171,50263,86.4055972907462
1235,北海道,石狩市,56869,44733,78.6597267404034
1236,北海道,北斗市,44302,28056,63.3289693467564
1303,北海道,当別町,15916,5436,34.1543101281729
1304,北海道,新篠津村,3044,0,0
1331,北海道,松前町,6260,0,0
1332,北海道,福島町,3794,0,0
1333,北海道,知内町,4167,0,0
1334,北海道,木古内町,3832,0,0
1337,北海道,七飯町,27686,12644,45.6692913385827
1343,北海道,鹿部町,3760,0,0
1345,北海道,森町,14338,0,0
1346,北海道,八雲町,15826,6799,42.960950334892
1347,北海道,長万部町,5109,0,0
1361,北海道,江差町,7428,0,0
1362,北海道,上ノ国町,4306,0,0
1363,北海道,厚沢部町,3592,0,0
1364,北海道,乙部町,3403,0,0
1367,北海道,奥尻町,2410,0,0
1370,北海道,今金町,5072,0,0
1371,北海道,せたな町,7398,0,0
1391,北海道,島牧村,1356,0,0
1392,北海道,寿都町,2838,0,0
1393,北海道,黒松内町,2791,0,0
1394,北海道,蘭越町,4568,0,0
1395,北海道,ニセコ町,5074,0,0
1396,北海道,真狩村,2045,0,0
1397,北海道,留寿都村,1911,0,0
1398,北海道,喜茂別町,2156,0,0
1399,北海道,京極町,2941,0,0
1400,北海道,倶知安町,15129,10117,66.871571154736
1401,北海道,共和町,5772,0,0
1402,北海道,岩内町,11648,8753,75.1459478021978
1403,北海道,泊村,1569,0,0
1404,北海道,神恵内村,870,0,0
1405,北海道,積丹町,1831,0,0
1406,北海道,古平町,2745,0,0
1407,北海道,仁木町,3180,0,0
1408,北海道,余市町,18000,8100,45
1409,北海道,赤井川村,1165,0,0
1423,北海道,南幌町,7319,0,0
1424,北海道,奈井江町,5120,0,0
1425,北海道,上砂川町,2841,0,0
1427,北海道,由仁町,4822,0,0
1428,北海道,長沼町,10289,0,0
1429,北海道,栗山町,11272,6408,56.8488289567069
1430,北海道,月形町,3691,0,0
1431,北海道,浦臼町,1732,0,0
1432,北海道,新十津川町,6484,0,0
1433,北海道,妹背牛町,2693,0,0
1434,北海道,秩父別町,2329,0,0
1436,北海道,雨竜町,2389,0,0
1437,北海道,北竜町,1724,0,0
