id,rank,score,name,course,region,jis_code,pref,city,ward,station,type,gender,review,did_pref,did_city
1,1,78,灘高等学校,,近畿,28100,兵庫県,神戸市,東灘区,魚崎駅,私立,男子校,4.74,78.7931642111018,93.9352274396257
2,2,77,お茶の水女子大学附属高等学校,,関東,13105,東京都,文京区,,護国寺駅,国立,女子校,4.18,98.5507482633681,100
3,2,77,筑波大学附属高等学校,,関東,13105,東京都,文京区,,護国寺駅,国立,共学,4.39,98.5507482633681,100
4,2,77,筑波大学附属駒場高等学校,,関東,13112,東京都,世田谷区,,駒場東大前駅,国立,男子校,4.53,98.5507482633681,100
5,2,77,開成高等学校,,関東,13118,東京都,荒川区,,西日暮里駅,私立,男子校,4.88,98.5507482633681,100
6,2,77,ラ・サール高等学校,,九州・沖縄,46201,鹿児島県,鹿児島市,,谷山駅,私立,男子校,3.93,41.5992761872142,80.6751662373046
7,7,76,慶應義塾女子高等学校,,関東,13103,東京都,港区,,麻布十番駅,私立,女子校,3.92,98.5507482633681,100
8,7,76,膳所高等学校,理数科,近畿,25201,滋賀県,大津市,,膳所本町駅,公立,共学,4.2700000000000005,53.3485897807741,81.2397484568349
9,9,75,慶應義塾志木高等学校,,関東,11228,埼玉県,志木市,,志木駅,私立,男子校,4.05,81.6736001764522,99.4677886019165
10,9,75,早稲田大学本庄高等学院,,関東,11211,埼玉県,本庄市,,本庄駅,私立,共学,4.06,81.6736001764522,57.42086573585
11,9,75,東京学芸大学附属高等学校,,関東,13112,東京都,世田谷区,,学芸大学駅,国立,共学,4.34,98.5507482633681,100
12,9,75,早稲田大学系属早稲田実業学校高等部,,関東,13214,東京都,国分寺市,,国分寺駅,私立,共学,4.02,98.5507482633681,100
13,9,75,早稲田大学高等学院,,関東,13120,東京都,練馬区,,上石神井駅,私立,男子校,4.29,98.5507482633681,100
14,9,75,慶應義塾高等学校,,関東,14100,神奈川県,横浜市,港北区,日吉駅,私立,男子校,4.49,94.6540436924625,97.6473537594133
15,9,75,慶應義塾湘南藤沢高等部,,関東,14205,神奈川県,藤沢市,,香川駅,私立,共学,3.87,94.6540436924625,94.1726462274408
16,9,75,北野高等学校,,近畿,27100,大阪府,大阪市,淀川区,十三駅,公立,共学,4.54,95.935960605068,99.9851039742597
17,9,75,大阪星光学院高等学校,,近畿,27100,大阪府,大阪市,天王寺区,四天王寺前夕陽ヶ丘駅,私立,男子校,4.2,95.935960605068,99.9851039742597
18,9,75,神戸高等学校,総合理学科,近畿,28100,兵庫県,神戸市,灘区,王子公園駅,公立,共学,4,78.7931642111018,93.9352274396257
19,9,75,西大和学園高等学校,普通科東大・京大・国公医コース,近畿,29427,奈良県,河合町,,大輪田駅,私立,共学,4.42,67.0351906003369,58.9493477494418
20,9,75,広島大学附属福山高等学校,,中国,34207,広島県,福山市,,東福山駅,国立,共学,4.02,65.4047466480361,57.4124053543922
21,9,75,久留米大学附設高等学校,,九州・沖縄,40203,福岡県,久留米市,,久留米大学前駅,私立,共学,4.119999999999999,73.7395754100998,62.2690527370795
22,9,75,青雲高等学校,,九州・沖縄,42308,長崎県,時津町,,道ノ尾駅,私立,共学,3.67,48.1089553819695,66.1269981935308
23,23,74,大宮高等学校,理数科,関東,11100,埼玉県,さいたま市,大宮区,さいたま新都心駅,公立,共学,4.34,81.6736001764522,93.9118974339608
24,23,74,栄東高等学校,普通科東医クラス,関東,11100,埼玉県,さいたま市,見沼区,東大宮駅,私立,共学,3.66,81.6736001764522,93.9118974339608
25,23,74,渋谷教育学園幕張高等学校,,関東,12100,千葉県,千葉市,美浜区,海浜幕張駅,私立,共学,4.56,76.754353582158,91.4787512398059
26,23,74,横浜翠嵐高等学校,,関東,14100,神奈川県,横浜市,神奈川区,三ツ沢下町駅,公立,共学,4.2700000000000005,94.6540436924625,97.6473537594133
27,23,74,天王寺高等学校,,近畿,27100,大阪府,大阪市,阿倍野区,美章園駅,公立,共学,4.33,95.935960605068,99.9851039742597
28,23,74,広島大学附属高等学校,,中国,34100,広島県,広島市,南区,広大附属学校前駅,国立,共学,4.159999999999999,65.4047466480361,86.5367094342388
29,23,74,AICJ高等学校,普通科ＩＢディプロマコース,中国,34100,広島県,広島市,安佐南区,下祇園駅,私立,共学,3.72,65.4047466480361,86.5367094342388
30,23,74,愛光高等学校,,四国,38201,愛媛県,松山市,,西衣山駅,私立,共学,3.8,53.9999895118595,83.6358941454483
31,23,74,熊本高等学校,,九州・沖縄,43100,熊本県,熊本市,中央区,水前寺駅,公立,共学,4.45,49.8099005868374,80.7979806865936
32,32,73,水戸第一高等学校,,関東,8201,茨城県,水戸市,,水戸駅,公立,共学,4.2700000000000005,40.7899312489078,64.3367752184273
33,32,73,浦和高等学校,,関東,11100,埼玉県,さいたま市,浦和区,北浦和駅,公立,男子校,4.59,81.6736001764522,93.9118974339608
34,32,73,開智高等学校,普通科Ｔコース,関東,11100,埼玉県,さいたま市,岩槻区,東岩槻駅,私立,共学,3.73,81.6736001764522,93.9118974339608
35,32,73,千葉高等学校,,関東,12100,千葉県,千葉市,中央区,県庁前駅,公立,共学,4.39,76.754353582158,91.4787512398059
36,32,73,船橋高等学校,普通科[単位制],関東,12204,千葉県,船橋市,,東船橋駅,公立,共学,4.3,76.754353582158,96.0362851858823
37,32,73,市川高等学校,,関東,12203,千葉県,市川市,,鬼越駅,私立,共学,3.83,76.754353582158,97.9121197722459
38,32,73,日比谷高等学校,,関東,13101,東京都,千代田区,,赤坂見附駅,公立,共学,4.46,98.5507482633681,100
39,32,73,国立高等学校,,関東,13215,東京都,国立市,,谷保駅,公立,共学,4.45,98.5507482633681,98.4804874886555
40,32,73,湘南高等学校,,関東,14205,神奈川県,藤沢市,,藤沢本町駅,公立,共学,4.41,94.6540436924625,94.1726462274408
41,32,73,新潟高等学校,理数科,中部,15100,新潟県,新潟市,中央区,白山駅,公立,共学,4.13,50.8355623475881,75.204206391942
42,32,73,洛南高等学校,普通科空パラダイムコース,近畿,26100,京都府,京都市,南区,東寺駅,私立,共学,4.109999999999999,84.4101847610263,95.5079615473693
43,32,73,大阪教育大学附属高等学校池田校舎,,近畿,27204,大阪府,池田市,,池田駅,国立,共学,3.96,95.935960605068,91.549912851333
44,32,73,大阪教育大学附属高等学校天王寺校舎,,近畿,27100,大阪府,大阪市,天王寺区,寺田町駅,国立,共学,3.9,95.935960605068,99.9851039742597
45,32,73,三国丘高等学校,,近畿,27140,大阪府,堺市,堺区,堺東駅,公立,共学,4.109999999999999,95.935960605068,95.4018647696999
46,32,73,清風南海高等学校,,近畿,27225,大阪府,高石市,,北助松駅,私立,共学,3.77,95.935960605068,100
47,32,73,四天王寺高等学校,普通科文理選抜コース,近畿,27100,大阪府,大阪市,天王寺区,四天王寺前夕陽ヶ丘駅,私立,女子校,3.59,95.935960605068,99.9851039742597
48,32,73,長田高等学校,普通／人文・数理探求,近畿,28100,兵庫県,神戸市,長田区,高速長田駅,公立,共学,4.21,78.7931642111018,93.9352274396257
49,32,73,白陵高等学校,,近畿,28216,兵庫県,高砂市,,曽根駅,私立,共学,3.85,78.7931642111018,89.2934497617473
50,32,73,智辯学園和歌山高等学校,普通科編入コース,近畿,30201,和歌山県,和歌山市,,黒江駅,私立,共学,3.78,37.7452893178291,76.9721553336006
51,32,73,AICJ高等学校,普通科東医コース,中国,34100,広島県,広島市,安佐南区,下祇園駅,私立,共学,3.72,65.4047466480361,86.5367094342388
52,32,73,修猷館高等学校,,九州・沖縄,40130,福岡県,福岡市,早良区,西新駅,公立,共学,4.430000000000001,73.7395754100998,97.0081096904475
53,32,73,済々黌高等学校,,九州・沖縄,43100,熊本県,熊本市,中央区,坪井川公園駅,公立,共学,3.92,49.8099005868374,80.7979806865936
54,32,73,鶴丸高等学校,,九州・沖縄,46201,鹿児島県,鹿児島市,,鹿児島中央駅,公立,共学,4.119999999999999,41.5992761872142,80.6751662373046
55,32,73,樟南高等学校,普通科文理コース,九州・沖縄,46201,鹿児島県,鹿児島市,,鹿児島中央駅,私立,共学,3.25,41.5992761872142,80.6751662373046
